user_id,issuer,source,destination,travel_date,seat,travel_class,price,qr_detected,qr_decodable,qr_pnr_match,ocr_confidence,font_consistent,text_anomaly,exif_clean,file_unmodified,price_reasonable,metadata_consistent,fraud_type,is_fraud
5337,Cleartrip,Mumbai,Bangalore,2026-03-03,Sleeper,Sleeper,3155.0,1,1,0,46.03170455651708,0,1,0,0,1,0,behavioral,1
5285,Paytm,Indore,Bangalore,2025-10-28,Business,First,1641.0,1,1,1,72.59078533384783,1,0,1,1,1,1,none,0
1345,GoIbibo,Delhi,Ahmedabad,2025-11-04,CC,Business,2289.0,1,1,0,57.85912248451646,0,1,0,0,1,0,metadata_tamper,1
4581,Cleartrip,Nagpur,Mumbai,2026-02-01,CC,Sleeper,2552.0,1,1,1,79.23743372937972,1,0,0,1,1,1,none,0
4794,GoIbibo,Nagpur,Indore,2026-02-22,AC,Sleeper,725.0,1,1,1,79.81071348297051,1,0,1,1,1,1,none,0
3165,AbhiBus,Indore,Ahmedabad,2026-04-15,AC,First,388.0,1,1,0,39.11909750302071,0,1,0,0,1,0,behavioral,1
5141,AbhiBus,Surat,Indore,2025-11-11,Sleeper,AC Chair,3219.0,1,1,0,57.08345716047459,0,1,0,0,1,0,font_mismatch,1
6681,Paytm,Kanpur,Lucknow,2026-04-15,Business,Sleeper,792.0,1,1,1,79.89023884189098,1,0,1,1,1,1,none,0
7779,Yatra,Ahmedabad,Indore,2026-03-28,General,Business,3468.0,1,1,0,29.02006747041844,0,1,0,0,1,0,ocr_tamper,1
2928,Paytm,Chennai,Kolkata,2026-01-29,AC,First,3449.0,1,1,1,94.92426204071955,1,0,0,0,1,1,none,0
5605,Cleartrip,Jaipur,Mumbai,2026-04-06,Business,AC Chair,2234.0,1,1,1,50.31593466143998,0,1,0,0,1,0,duplicate,1
1539,Paytm,Hyderabad,Kolkata,2026-03-05,Business,First,811.0,1,1,1,96.07985190117155,1,0,1,1,1,1,none,0
2770,AbhiBus,Bhopal,Kolkata,2026-04-11,Sleeper,Business,3461.0,1,1,1,84.50545145333433,1,0,1,1,1,1,none,0
4374,Cleartrip,Bhopal,Surat,2025-11-19,First Class,Business,242.0,1,1,1,52.68632466923579,0,1,0,0,1,0,duplicate,1
3451,RedBus,Pune,Nagpur,2026-03-30,AC,Business,2506.0,1,1,0,84.65066432711734,0,0,1,1,1,1,none,0
6651,RedBus,Bhopal,Ahmedabad,2026-05-05,AC,First,1758.0,1,1,0,48.84285236086329,0,1,0,0,1,0,behavioral,1
9591,IRCTC,Delhi,Mumbai,2026-06-02,AC,Economy,1250.0,1,1,1,85.59517520724089,1,0,0,1,1,1,none,0
7858,MakeMyTrip,Chennai,Surat,2026-06-15,AC,Business,1484.0,1,1,1,83.53552949561217,1,0,1,0,1,1,none,0
6532,MakeMyTrip,Ahmedabad,Surat,2026-06-17,Sleeper,Economy,10.0,1,1,0,65.52102791185038,0,1,0,0,0,0,price_mismatch,1
1651,Paytm,Indore,Kolkata,2026-03-05,First Class,Economy,1186.0,1,1,0,59.98577952629008,0,1,0,0,1,0,metadata_tamper,1
9936,RedBus,Nagpur,Kanpur,2025-12-26,CC,AC Chair,2571.0,1,1,1,72.80852694120323,1,0,1,1,1,1,none,0
5241,RedBus,Surat,Ahmedabad,2026-06-06,First Class,AC Chair,1184.0,1,1,1,91.76728276071593,1,0,1,1,1,1,none,0
3804,Cleartrip,Delhi,Chennai,2026-04-18,First Class,Business,2983.0,1,1,1,77.14242464253508,1,0,1,1,1,1,none,0
7174,Yatra,Lucknow,Indore,2026-06-03,CC,Business,772.0,1,1,1,85.63074068784701,0,0,1,0,1,1,none,0
6609,IRCTC,Bangalore,Hyderabad,2026-01-15,2A,Business,580.0,1,1,1,95.53639033339338,1,0,1,1,1,1,none,0
7805,MakeMyTrip,Kanpur,Jaipur,2025-11-13,First Class,Economy,911.0,1,1,1,94.64456183693954,1,0,1,1,1,1,none,0
2747,IRCTC,Bangalore,Lucknow,2026-01-19,AC,Business,1485.0,1,1,1,84.04686838209997,1,0,1,1,1,1,none,0
6256,IRCTC,Jaipur,Chennai,2025-11-26,3A,AC Chair,3493.0,1,1,1,77.43880782555586,1,0,1,1,1,0,none,0
5978,Paytm,Pune,Kanpur,2025-12-01,AC,Business,2563.0,1,1,1,81.7722570835641,1,0,1,1,1,1,none,0
8886,RedBus,Chennai,Surat,2026-05-23,General,Economy,2637.0,1,1,1,88.92568691342737,1,0,1,0,1,1,none,0
9995,GoIbibo,Delhi,Bangalore,2026-04-19,2A,Business,2474.0,1,0,0,56.35257975440546,0,1,0,0,1,0,qr_invalid,1
8142,Yatra,Bangalore,Kolkata,2026-01-05,2A,Business,3337.0,1,1,1,92.26102520436643,1,0,1,0,1,1,none,0
4599,Paytm,Jaipur,Bangalore,2026-01-10,First Class,Economy,3439.0,1,1,1,75.10526934283642,1,0,1,1,1,1,none,0
7571,Cleartrip,Mumbai,Delhi,2026-01-29,AC,Economy,2576.0,1,1,0,75.65678724442793,1,0,1,0,1,1,none,0
8580,AbhiBus,Chennai,Mumbai,2026-03-18,Business,Economy,262.0,1,1,1,80.2165845244554,1,0,1,1,1,1,none,0
6154,RedBus,Lucknow,Indore,2026-04-29,CC,Business,2188.0,1,1,0,70.27336201723902,0,1,0,0,1,0,font_mismatch,1
4088,Paytm,Chennai,Lucknow,2026-01-20,2A,Business,1326.0,1,1,1,88.9969884158305,1,0,1,1,1,1,none,0
7157,MakeMyTrip,Chennai,Kolkata,2026-05-06,Sleeper,AC Chair,2398.0,1,1,1,93.12074049963317,1,0,1,1,1,1,none,0
8212,GoIbibo,Delhi,Lucknow,2026-02-14,Business,Business,1971.0,1,1,0,54.57432607390172,0,1,0,0,1,0,behavioral,1
3909,Yatra,Bangalore,Delhi,2026-04-14,AC,First,1081.0,1,1,1,81.1884511835226,1,0,0,1,1,1,none,0
2329,AbhiBus,Pune,Surat,2026-06-13,3A,Economy,2649.0,1,1,1,85.6356770143526,1,0,1,1,1,1,none,0
1523,Paytm,Indore,Hyderabad,2026-02-14,General,AC Chair,1654.0,1,1,1,82.29685660479512,1,0,1,0,1,1,none,0
4639,MakeMyTrip,Lucknow,Ahmedabad,2025-11-14,CC,Sleeper,1061.0,1,1,1,84.41899240136391,1,0,1,1,1,1,none,0
8171,Cleartrip,Bhopal,Pune,2025-10-23,Sleeper,Sleeper,2028.0,1,1,1,94.7581878017358,1,0,1,1,1,1,none,0
9427,IRCTC,Bhopal,Surat,2026-05-04,Business,Business,443.0,1,1,0,52.48840520496146,0,1,0,0,1,0,metadata_tamper,1
9961,AbhiBus,Kolkata,Ahmedabad,2026-02-28,3A,AC Chair,1942.0,1,1,1,74.60218773696691,1,0,0,0,1,1,none,0
1592,Paytm,Surat,Kolkata,2026-04-09,General,Business,1047.0,1,1,1,79.14536456995357,1,0,1,0,1,1,none,0
6589,AbhiBus,Kolkata,Bangalore,2026-04-28,First Class,Economy,2577.0,1,1,1,80.68934375380432,1,0,1,1,1,1,none,0
